invoice_id,vendor_id,po_id,contract_id,processor_id,market,currency,invoice_date,invoice_receipt_date,invoice_amount,invoice_payment_term,invoice_priority,approval_status,scenario_label,vendor_name,vendor_category,vendor_country,vendor_payment_term,vendor_risk_rating,historical_early_payment_rate,po_payment_term,po_amount,buying_team,contract_payment_term,agreement_type,sap_due_date,sap_payment_release_date,payment_status,payment_method,queue_entry_date,queue_age_days,workflow_status,workflow_notes,manual_override_flag,sap_error_code,time_of_day,processor_name,team,avg_daily_volume,historical_manual_override_rate,historical_early_release_rate,upr_flag,upr_reason,upr_approval_status,upr_requested_by,upr_documented_flag,source_of_truth_payment_term,contractual_due_date,recommended_release_date,days_to_contractual_due_date,days_paid_early,early_payment_flag,payment_term_mismatch_flag,po_invoice_term_delta,sap_contract_due_date_delta,vendor_early_payment_rate,processor_early_release_rate,processor_manual_override_rate,month_end_flag,weekend_release_flag,high_value_invoice_flag,upr_missing_but_early_flag,sap_error_present_flag,market_risk_score,workflow_risk_signal,approval_risk_score,amount_log,amount_band,root_cause_label,invoice_month,rule_based_term,rule_based_recommended_release_date,target_adjustment_days,true_recommended_release_date,predicted_adjustment_days,override_confidence,risk_score,predicted_root_cause,rule_flags,rule_flag_count,recommended_action,status,risk_band,risk_explanation,root_cause_narrative,is_flagged
INV00000020,V00138,PO0000717,CT000138,P0040,Brazil,GBP,2026-01-31,2026-01-31,110394.42,45,Critical,Approved,HIGH_VALUE_MANUAL_OVERRIDE,Johnson-Beltran,Packaging,Brazil,45,Low,0.3193,45,11720.06,Nutrition,45,Exception,2026-03-17,2026-03-07,Queued,ACH,2026-02-04,1,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon,Processor 040,AP Europe,48,0.3109,0.5052,0,,Not Applicable,,0,45,2026-03-17,2026-03-18,10,10,1,0,0,0,0.3193,0.5052,0.3109,0,1,1,1,0,0.42,0.7,0.2,11.611823926457339,Very High,Behavioural,2026-03,45,2026-03-17,3,2026-03-20,1,0.6667,0.8968925526116956,Behavioural,Release before contractual due date; UPR missing but paid early; Manual override; High-value early payment; Repeat vendor early payment pattern,5,ESCALATE,Escalated,Critical,"Invoice INV00000020 has been flagged because it is scheduled to release 10 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 31.9%. Recommended action: ESCALATE.","The invoice appears to be driven by manual release behaviour, likely related to queue clearance or backlog pressure. AP leadership should review processor behaviour.",1
INV00000022,V00036,PO0001063,CT000036,P0064,USA,IDR,2025-10-09,2025-10-11,8076.57,30,High,Approved,BEHAVIOURAL_QUEUE_CLEARANCE,Carey and Sons,Facilities,USA,30,High,0.3586,30,140082.62,Foods,30,Strategic,2025-11-10,2025-10-09,Held,ACH,2025-10-14,21,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon,Processor 064,AP Africa,75,0.3606,0.4673,0,,Not Applicable,,0,30,2025-11-10,2025-11-10,32,32,1,0,0,0,0.3586,0.4673,0.3606,0,0,0,1,0,0.25,0.7,0.2,8.996846363708766,Low,Behavioural,2025-10,30,2025-11-10,0,2025-11-10,0,1.0,0.8689489170539234,Behavioural,Release before contractual due date; 15+ days early; UPR missing but paid early; Manual override; Repeat vendor early payment pattern,5,HOLD,Review Required,Critical,"Invoice INV00000022 has been flagged because it is scheduled to release 32 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 35.9%. Recommended action: HOLD.","The invoice appears to be driven by manual release behaviour, likely related to queue clearance or backlog pressure. AP leadership should review processor behaviour.",1
INV00000024,V00253,PO0000793,CT000253,P0038,UK,BRL,2025-07-21,2025-07-21,9876.12,90,High,Approved,LEGITIMATE_UPR_EARLY_PAYMENT,Vincent-Ritter,Marketing,UK,90,Low,0.3013,90,166444.78,Beauty,90,Strategic,2025-10-21,2025-10-03,Queued,ACH,2025-07-22,10,Approved,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,SAP_BLOCK_MISS,Late Night,Processor 038,AP India,114,0.0794,0.3779,1,Port clearance,Rejected,Finance Lead,1,90,2025-10-19,2025-10-23,16,16,1,0,0,2,0.3013,0.3779,0.0794,0,0,0,0,1,0.22,0.55,0.2,9.197976250272411,Medium,System error,2025-10,90,2025-10-19,2,2025-10-21,4,0.6667,0.8184500446137042,UPR,Release before contractual due date; 15+ days early; Repeat vendor early payment pattern,3,DEFER,Deferred,Critical,"Invoice INV00000024 has been flagged because it is scheduled to release 16 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 30.1%. Recommended action: DEFER.",The invoice appears linked to an urgent payment request. Governance should verify that the request is approved and documented before release.,1
INV00000027,V00366,PO0000733,CT000366,P0072,UK,ZAR,2026-01-12,2026-01-14,237456.95,30,High,Approved,HIGH_VALUE_MANUAL_OVERRIDE,Hanson Ltd,Logistics,UK,30,Low,0.2049,30,56589.73,Home Care,30,Standard,2026-02-13,2026-01-15,Queued,Wire,2026-01-16,6,Pending,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon,Processor 072,AP Africa,188,0.3462,0.3203,0,,Not Applicable,,0,30,2026-02-13,2026-02-14,29,29,1,0,0,0,0.2049,0.3203,0.3462,0,0,1,1,0,0.22,0.7,0.2,12.377745834149586,Very High,Behavioural,2026-01,30,2026-02-13,1,2026-02-14,1,1.0,0.8611202826122246,Behavioural,Release before contractual due date; 15+ days early; UPR missing but paid early; Manual override; High-value early payment,5,HOLD,Review Required,Critical,"Invoice INV00000027 has been flagged because it is scheduled to release 29 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 20.5%. Recommended action: HOLD.","The invoice appears to be driven by manual release behaviour, likely related to queue clearance or backlog pressure. AP leadership should review processor behaviour.",1
INV00000028,V00158,PO0001001,CT000158,P0054,Germany,GBP,2026-02-21,2026-02-21,13732.78,45,Medium,Approved,CORA_SAP_SYSTEM_ERROR,"Weaver, Gordon and Parker",Raw Materials,Germany,45,Low,0.3646,45,168297.58,Corporate,45,Standard,2026-04-07,2026-03-20,Queued,Wire,2026-02-23,13,Approved,Cora/SAP date logic issue detected with code DATE_MAP_ERR; payment term mapping requires review.,1,DATE_MAP_ERR,Morning,Processor 054,AP Americas,114,0.1187,0.1289,0,,Not Applicable,,0,45,2026-04-07,2026-04-11,18,18,1,0,0,0,0.3646,0.1289,0.1187,0,0,0,1,1,0.18,0.65,0.2,9.52761377041245,Medium,System error,2026-03,45,2026-04-07,2,2026-04-09,4,0.6667,0.6684369369157979,System error,Release before contractual due date; 15+ days early; UPR missing but paid early; Manual override; Repeat vendor early payment pattern,5,HOLD,Review Required,High,"Invoice INV00000028 has been flagged because it is scheduled to release 18 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 36.5%. Recommended action: HOLD.",The invoice shows indicators of SAP/Cora date or payment term logic issues. The due date mapping should be corrected before payment release.,1
INV00000030,V00069,PO0000282,CT000069,P0048,India,INR,2025-08-09,2025-08-13,1763.36,45,Critical,Approved,LEGITIMATE_UPR_EARLY_PAYMENT,Le and Sons,Professional Services,India,45,Low,0.0855,45,68799.59,Foods,45,Standard,2025-09-27,2025-09-13,Queued,NEFT,2025-08-17,6,Pending,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Morning,Processor 048,AP Africa,82,0.1879,0.0768,1,Executive exception,Pending,Plant Manager,0,45,2025-09-27,2025-09-25,14,14,1,0,0,0,0.0855,0.0768,0.1879,0,1,0,0,0,0.35,0.55,0.2,7.475543297377566,Low,UPR,2025-09,45,2025-09-27,-2,2025-09-25,-2,1.0,0.6492739081205786,UPR,Release before contractual due date,1,APPROVE,Ready to Release,High,"Invoice INV00000030 has been flagged because it is scheduled to release 14 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 8.6%. Recommended action: APPROVE.",The invoice appears linked to an urgent payment request. Governance should verify that the request is approved and documented before release.,1
INV00000031,V00205,PO0000137,CT000205,P0040,India,MXN,2025-10-21,2025-10-25,40150.86,90,Medium,Pending,BEHAVIOURAL_QUEUE_CLEARANCE,"Thompson, Huynh and Navarro",Packaging,India,90,Low,0.0861,30,9665.28,Beauty,90,Strategic,2026-01-23,2025-12-16,Held,ACH,2025-10-26,15,Held,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Late Night,Processor 040,AP Europe,48,0.3109,0.5052,0,,Not Applicable,,0,90,2026-01-23,2026-01-23,38,38,1,1,-60,0,0.0861,0.5052,0.3109,0,0,0,1,0,0.35,0.7,0.55,10.600424044578343,Very High,Behavioural,2025-12,90,2026-01-23,-1,2026-01-22,2,0.5,0.7252000632341072,Behavioural,Release before contractual due date; 15+ days early; UPR missing but paid early; PO/invoice payment term mismatch; Manual override,5,HOLD,Review Required,High,"Invoice INV00000031 has been flagged because it is scheduled to release 38 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 8.6%. Recommended action: HOLD.","The invoice appears to be driven by manual release behaviour, likely related to queue clearance or backlog pressure. AP leadership should review processor behaviour.",1
INV00000034,V00240,PO0000009,CT000240,P0001,India,USD,2025-03-07,2025-03-08,16840.13,45,Low,Pending,BEHAVIOURAL_QUEUE_CLEARANCE,Robles-Jones,Logistics,India,30,Low,0.0625,30,14513.07,Beauty,30,Standard,2025-04-09,2025-03-08,Queued,SEPA,2025-03-11,17,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,0,NONE,Evening,Processor 001,AP India,155,0.4192,0.2754,0,,Not Applicable,,0,30,2025-04-07,2025-04-09,30,30,1,1,-15,2,0.0625,0.2754,0.4192,0,1,0,1,0,0.35,0.7,0.55,9.731579387682837,Medium,Behavioural,2025-03,30,2025-04-07,2,2025-04-09,2,1.0,0.4851404304935997,Behavioural,Release before contractual due date; 15+ days early; UPR missing but paid early; PO/invoice payment term mismatch,4,HOLD,Review Required,Medium,"Invoice INV00000034 has been flagged because it is scheduled to release 30 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 6.2%. Recommended action: HOLD.","The invoice appears to be driven by manual release behaviour, likely related to queue clearance or backlog pressure. AP leadership should review processor behaviour.",1
INV00000037,V00169,PO0000131,CT000169,P0041,USA,GBP,2025-04-29,2025-05-06,28256.33,30,High,Approved,BEHAVIOURAL_QUEUE_CLEARANCE,Ramos-Spencer,Packaging,USA,30,Medium,0.3223,30,44362.98,Ice Cream,30,Strategic,2025-06-05,2025-05-25,Queued,ACH,2025-05-08,19,Pending,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Evening,Processor 041,AP Africa,52,0.3611,0.47,0,,Not Applicable,,0,30,2025-06-05,2025-06-05,11,11,1,0,0,0,0.3223,0.47,0.3611,1,1,0,1,0,0.25,0.7,0.2,10.24910817194487,High,Behavioural,2025-05,30,2025-06-05,1,2025-06-06,0,0.8333,0.893877083623616,Behavioural,Release before contractual due date; UPR missing but paid early; Manual override; Repeat vendor early payment pattern,4,HOLD,Review Required,Critical,"Invoice INV00000037 has been flagged because it is scheduled to release 11 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 32.2%. Recommended action: HOLD.","The invoice appears to be driven by manual release behaviour, likely related to queue clearance or backlog pressure. AP leadership should review processor behaviour.",1
INV00000038,V00097,PO0000244,CT000097,P0036,UK,ZAR,2025-10-07,2025-10-11,30562.32,45,Medium,Approved,BEHAVIOURAL_QUEUE_CLEARANCE,Lucas Inc,Raw Materials,UK,30,High,0.2742,45,62807.93,Beauty,30,Strategic,2025-11-10,2025-10-31,Queued,ACH,2025-10-13,13,Pending,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Late Night,Processor 036,AP India,167,0.3129,0.482,0,,Not Applicable,,0,30,2025-11-10,2025-11-10,10,10,1,0,0,0,0.2742,0.482,0.3129,1,0,0,1,0,0.22,0.7,0.2,10.327555876123151,High,Behavioural,2025-10,30,2025-11-10,0,2025-11-10,0,1.0,0.7345021696834244,Behavioural,Release before contractual due date; UPR missing but paid early; Manual override; Repeat vendor early payment pattern,4,APPROVE,Ready to Release,High,"Invoice INV00000038 has been flagged because it is scheduled to release 10 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 27.4%. Recommended action: APPROVE.","The invoice appears to be driven by manual release behaviour, likely related to queue clearance or backlog pressure. AP leadership should review processor behaviour.",1
INV00000039,V00237,PO0000348,CT000237,P0070,UK,GBP,2025-08-26,2025-08-27,92947.4,60,Critical,Approved,LEGITIMATE_UPR_EARLY_PAYMENT,Buckley Group,Facilities,UK,60,Low,0.5549,60,69426.52,Corporate,60,Standard,2025-10-31,2025-10-20,Queued,SEPA,2025-08-30,15,Held,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Afternoon,Processor 070,AP SEA,60,0.0695,0.1465,0,,Not Applicable,,0,60,2025-10-26,2025-10-29,6,6,1,0,0,5,0.5549,0.1465,0.0695,0,0,1,1,0,0.22,0.6,0.2,11.43979977944576,Very High,System error,2025-10,60,2025-10-26,2,2025-10-28,3,0.8333,0.5636729334874305,Insufficient audit trail,Release before contractual due date; UPR missing but paid early; SAP due date differs from contract; High-value early payment; Repeat vendor early payment pattern,5,ESCALATE,Escalated,Medium,"Invoice INV00000039 has been flagged because it is scheduled to release 6 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 55.5%. Recommended action: ESCALATE.",The invoice lacks enough audit evidence to explain the early release. Treat this as a priority governance case until ownership is confirmed.,1
INV00000041,V00298,PO0000380,CT000298,P0083,South Africa,ZAR,2025-12-20,2025-12-23,7042.57,30,Medium,Approved,REPEAT_VENDOR_PATTERN,Williams-Lane,Logistics,South Africa,30,Low,0.431,30,39073.2,Ice Cream,30,Standard,2026-01-22,2026-01-05,Queued,Cheque,2025-12-26,7,Released,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Morning,Processor 083,AP LATAM,164,0.1672,0.2409,0,,Not Applicable,,0,30,2026-01-22,2026-01-23,17,17,1,0,0,0,0.431,0.2409,0.1672,0,0,0,1,0,0.4,0.6,0.2,8.859870422891909,Low,Behavioural,2026-01,30,2026-01-22,0,2026-01-22,1,0.8333,0.3190387031527949,Insufficient audit trail,Release before contractual due date; 15+ days early; UPR missing but paid early; Repeat vendor early payment pattern,4,HOLD,Review Required,Low,"Invoice INV00000041 has been flagged because it is scheduled to release 17 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 43.1%. Recommended action: HOLD.",The invoice lacks enough audit evidence to explain the early release. Treat this as a priority governance case until ownership is confirmed.,1
