follow_up_id,invoice_id,owner,follow_up_type,follow_up_status,created_date,due_date,aging_days,latest_response,next_action,generated_email_text,reminder_text
FUP00000011,INV00000020,Finance Lead,Escalation,Escalated,2026-05-11,2026-05-13,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000020

Hi AP Team,

Invoice INV00000020 for vendor Johnson-Beltran is scheduled to release 10 days before the contractual due date.

Risk score: 0.90
Root cause: Behavioural
Recommended action: ESCALATE
Recommended release date: 2026-03-18 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000020. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000012,INV00000022,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000022

Hi AP Team,

Invoice INV00000022 for vendor Carey and Sons is scheduled to release 32 days before the contractual due date.

Risk score: 0.87
Root cause: Behavioural
Recommended action: HOLD
Recommended release date: 2025-11-10 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000022. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000013,INV00000024,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000024

Hi AP Team,

Invoice INV00000024 for vendor Vincent-Ritter is scheduled to release 16 days before the contractual due date.

Risk score: 0.82
Root cause: UPR
Recommended action: DEFER
Recommended release date: 2025-10-23 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000024. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000014,INV00000027,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000027

Hi AP Team,

Invoice INV00000027 for vendor Hanson Ltd is scheduled to release 29 days before the contractual due date.

Risk score: 0.86
Root cause: Behavioural
Recommended action: HOLD
Recommended release date: 2026-02-14 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000027. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000015,INV00000028,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000028

Hi AP Team,

Invoice INV00000028 for vendor Weaver, Gordon and Parker is scheduled to release 18 days before the contractual due date.

Risk score: 0.67
Root cause: System error
Recommended action: HOLD
Recommended release date: 2026-04-11 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000028. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000016,INV00000031,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000031

Hi AP Team,

Invoice INV00000031 for vendor Thompson, Huynh and Navarro is scheduled to release 38 days before the contractual due date.

Risk score: 0.73
Root cause: Behavioural
Recommended action: HOLD
Recommended release date: 2026-01-23 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000031. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000017,INV00000034,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000034

Hi AP Team,

Invoice INV00000034 for vendor Robles-Jones is scheduled to release 30 days before the contractual due date.

Risk score: 0.49
Root cause: Behavioural
Recommended action: HOLD
Recommended release date: 2025-04-09 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000034. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000018,INV00000037,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000037

Hi AP Team,

Invoice INV00000037 for vendor Ramos-Spencer is scheduled to release 11 days before the contractual due date.

Risk score: 0.89
Root cause: Behavioural
Recommended action: HOLD
Recommended release date: 2025-06-05 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000037. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000019,INV00000039,Finance Lead,Escalation,Escalated,2026-05-11,2026-05-13,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000039

Hi AP Team,

Invoice INV00000039 for vendor Buckley Group is scheduled to release 6 days before the contractual due date.

Risk score: 0.56
Root cause: Insufficient audit trail
Recommended action: ESCALATE
Recommended release date: 2025-10-29 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000039. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000020,INV00000041,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000041

Hi AP Team,

Invoice INV00000041 for vendor Williams-Lane is scheduled to release 17 days before the contractual due date.

Risk score: 0.32
Root cause: Insufficient audit trail
Recommended action: HOLD
Recommended release date: 2026-01-23 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000041. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000021,INV00000042,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000042

Hi AP Team,

Invoice INV00000042 for vendor Perry, Duke and Olson is scheduled to release 8 days before the contractual due date.

Risk score: 0.79
Root cause: UPR
Recommended action: HOLD
Recommended release date: 2025-06-11 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000042. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000022,INV00000044,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000044

Hi AP Team,

Invoice INV00000044 for vendor Monroe-Chen is scheduled to release 14 days before the contractual due date.

Risk score: 0.83
Root cause: Behavioural
Recommended action: HOLD
Recommended release date: 2026-01-23 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000044. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000023,INV00000046,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000046

Hi AP Team,

Invoice INV00000046 for vendor Fowler PLC is scheduled to release 31 days before the contractual due date.

Risk score: 0.65
Root cause: Insufficient audit trail
Recommended action: HOLD
Recommended release date: 2025-05-06 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000046. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000024,INV00000047,Finance Lead,Escalation,Escalated,2026-05-11,2026-05-13,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000047

Hi AP Team,

Invoice INV00000047 for vendor Bishop, Villarreal and Reyes is scheduled to release 33 days before the contractual due date.

Risk score: 0.81
Root cause: System error
Recommended action: ESCALATE
Recommended release date: 2026-03-06 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000047. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000025,INV00000049,Finance Lead,Escalation,Escalated,2026-05-11,2026-05-13,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000049

Hi AP Team,

Invoice INV00000049 for vendor Hardy, Robinson and Gibson is scheduled to release 8 days before the contractual due date.

Risk score: 0.79
Root cause: System error
Recommended action: ESCALATE
Recommended release date: 2025-06-02 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000049. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000026,INV00000050,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000050

Hi AP Team,

Invoice INV00000050 for vendor Page-Murray is scheduled to release 12 days before the contractual due date.

Risk score: 0.84
Root cause: UPR
Recommended action: HOLD
Recommended release date: 2025-09-16 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000050. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000027,INV00000052,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000052

Hi AP Team,

Invoice INV00000052 for vendor Cross-Phillips is scheduled to release 9 days before the contractual due date.

Risk score: 0.27
Root cause: Insufficient audit trail
Recommended action: DEFER
Recommended release date: 2025-08-11 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000052. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000028,INV00000055,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000055

Hi AP Team,

Invoice INV00000055 for vendor Anderson Group is scheduled to release 9 days before the contractual due date.

Risk score: 0.62
Root cause: Behavioural
Recommended action: DEFER
Recommended release date: 2026-04-23 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000055. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000029,INV00000059,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000059

Hi AP Team,

Invoice INV00000059 for vendor Burgess-Stokes is scheduled to release 34 days before the contractual due date.

Risk score: 0.79
Root cause: System error
Recommended action: DEFER
Recommended release date: 2025-10-15 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000059. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000030,INV00000063,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000063

Hi AP Team,

Invoice INV00000063 for vendor Galvan LLC is scheduled to release 10 days before the contractual due date.

Risk score: 0.65
Root cause: System error
Recommended action: DEFER
Recommended release date: 2025-02-08 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000063. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000031,INV00000065,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000065

Hi AP Team,

Invoice INV00000065 for vendor Morales and Sons is scheduled to release 37 days before the contractual due date.

Risk score: 0.62
Root cause: System error
Recommended action: HOLD
Recommended release date: 2025-04-01 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000065. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000032,INV00000068,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000068

Hi AP Team,

Invoice INV00000068 for vendor Barry Group is scheduled to release 5 days before the contractual due date.

Risk score: 0.79
Root cause: System error
Recommended action: DEFER
Recommended release date: 2025-03-28 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000068. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000033,INV00000069,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000069

Hi AP Team,

Invoice INV00000069 for vendor Gordon-Mckay is scheduled to release 5 days before the contractual due date.

Risk score: 0.34
Root cause: Insufficient audit trail
Recommended action: DEFER
Recommended release date: 2025-04-03 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000069. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000034,INV00000070,Finance Lead,Escalation,Escalated,2026-05-11,2026-05-13,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000070

Hi AP Team,

Invoice INV00000070 for vendor Clark-Manning is scheduled to release 14 days before the contractual due date.

Risk score: 0.71
Root cause: Behavioural
Recommended action: ESCALATE
Recommended release date: 2026-01-21 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000070. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000035,INV00000071,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000071

Hi AP Team,

Invoice INV00000071 for vendor Graves, King and Carney is scheduled to release 24 days before the contractual due date.

Risk score: 0.75
Root cause: System error
Recommended action: HOLD
Recommended release date: 2025-10-02 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000071. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000036,INV00000075,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000075

Hi AP Team,

Invoice INV00000075 for vendor Lutz Inc is scheduled to release 25 days before the contractual due date.

Risk score: 0.69
Root cause: System error
Recommended action: HOLD
Recommended release date: 2026-02-18 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000075. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000037,INV00000077,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000077

Hi AP Team,

Invoice INV00000077 for vendor Barnes, Simmons and Foley is scheduled to release 29 days before the contractual due date.

Risk score: 0.72
Root cause: Behavioural
Recommended action: HOLD
Recommended release date: 2026-03-26 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000077. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000038,INV00000078,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000078

Hi AP Team,

Invoice INV00000078 for vendor Garcia-Vasquez is scheduled to release 16 days before the contractual due date.

Risk score: 0.64
Root cause: System error
Recommended action: HOLD
Recommended release date: 2025-05-06 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000078. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000039,INV00000081,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000081

Hi AP Team,

Invoice INV00000081 for vendor Powell, Sutton and Reynolds is scheduled to release 11 days before the contractual due date.

Risk score: 0.87
Root cause: Behavioural
Recommended action: HOLD
Recommended release date: 2025-05-24 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000081. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000040,INV00000083,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000083

Hi AP Team,

Invoice INV00000083 for vendor Lin Inc is scheduled to release 13 days before the contractual due date.

Risk score: 0.81
Root cause: UPR
Recommended action: HOLD
Recommended release date: 2025-09-14 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000083. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000041,INV00000084,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000084

Hi AP Team,

Invoice INV00000084 for vendor Schwartz and Sons is scheduled to release 7 days before the contractual due date.

Risk score: 0.75
Root cause: UPR
Recommended action: HOLD
Recommended release date: 2025-10-31 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000084. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000042,INV00000086,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000086

Hi AP Team,

Invoice INV00000086 for vendor Aguirre, Graves and Stevens is scheduled to release 9 days before the contractual due date.

Risk score: 0.86
Root cause: Behavioural
Recommended action: HOLD
Recommended release date: 2025-09-17 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000086. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000043,INV00000087,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000087

Hi AP Team,

Invoice INV00000087 for vendor Joyce-Weaver is scheduled to release 24 days before the contractual due date.

Risk score: 0.59
Root cause: System error
Recommended action: HOLD
Recommended release date: 2025-06-01 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000087. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000044,INV00000088,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000088

Hi AP Team,

Invoice INV00000088 for vendor Kirk-Proctor is scheduled to release 33 days before the contractual due date.

Risk score: 0.37
Root cause: Insufficient audit trail
Recommended action: HOLD
Recommended release date: 2026-04-12 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000088. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000045,INV00000090,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000090

Hi AP Team,

Invoice INV00000090 for vendor Jordan PLC is scheduled to release 15 days before the contractual due date.

Risk score: 0.77
Root cause: System error
Recommended action: HOLD
Recommended release date: 2025-09-25 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000090. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000046,INV00000092,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000092

Hi AP Team,

Invoice INV00000092 for vendor Sullivan, Valencia and Delgado is scheduled to release 29 days before the contractual due date.

Risk score: 0.62
Root cause: System error
Recommended action: HOLD
Recommended release date: 2026-02-26 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000092. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000047,INV00000093,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000093

Hi AP Team,

Invoice INV00000093 for vendor Vazquez-Huffman is scheduled to release 32 days before the contractual due date.

Risk score: 0.65
Root cause: System error
Recommended action: HOLD
Recommended release date: 2026-02-22 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000093. Please confirm hold/release decision and attach supporting approval evidence.
