audit_id,invoice_id,action_taken,triggered_by,timestamp,root_cause,recommendation,risk_score,final_status,comments
AUD00000021,INV00000039,ESCALATE,ML Risk Scorer + Rule Engine,2026-05-11 20:15:35,Insufficient audit trail,ESCALATE until 2025-10-29 00:00:00,0.5637,Open,"Invoice INV00000039 has been flagged because it is scheduled to release 6 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 55.5%. Recommended action: ESCALATE."
AUD00000022,INV00000041,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:36,Insufficient audit trail,HOLD until 2026-01-23 00:00:00,0.319,Open,"Invoice INV00000041 has been flagged because it is scheduled to release 17 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 43.1%. Recommended action: HOLD."
AUD00000023,INV00000042,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:37,UPR,HOLD until 2025-06-11 00:00:00,0.7897,Open,"Invoice INV00000042 has been flagged because it is scheduled to release 8 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 23.7%. Recommended action: HOLD."
AUD00000024,INV00000044,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:38,Behavioural,HOLD until 2026-01-23 00:00:00,0.8347,Open,"Invoice INV00000044 has been flagged because it is scheduled to release 14 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 24.1%. Recommended action: HOLD."
AUD00000025,INV00000046,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:39,Insufficient audit trail,HOLD until 2025-05-06 00:00:00,0.652,Open,"Invoice INV00000046 has been flagged because it is scheduled to release 31 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 3.5%. Recommended action: HOLD."
AUD00000026,INV00000047,ESCALATE,ML Risk Scorer + Rule Engine,2026-05-11 20:15:40,System error,ESCALATE until 2026-03-06 00:00:00,0.8082,Open,"Invoice INV00000047 has been flagged because it is scheduled to release 33 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 62.7%. Recommended action: ESCALATE."
AUD00000027,INV00000049,ESCALATE,ML Risk Scorer + Rule Engine,2026-05-11 20:15:41,System error,ESCALATE until 2025-06-02 00:00:00,0.7941,Open,"Invoice INV00000049 has been flagged because it is scheduled to release 8 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 20.6%. Recommended action: ESCALATE."
AUD00000028,INV00000050,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:42,UPR,HOLD until 2025-09-16 00:00:00,0.8379,Open,"Invoice INV00000050 has been flagged because it is scheduled to release 12 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 11.4%. Recommended action: HOLD."
AUD00000029,INV00000052,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:15:43,Insufficient audit trail,DEFER until 2025-08-11 00:00:00,0.2703,Open,"Invoice INV00000052 has been flagged because it is scheduled to release 9 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 15.4%. Recommended action: DEFER."
AUD00000030,INV00000055,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:15:44,Behavioural,DEFER until 2026-04-23 00:00:00,0.6191,Open,"Invoice INV00000055 has been flagged because it is scheduled to release 9 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 5.5%. Recommended action: DEFER."
AUD00000031,INV00000059,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:15:45,System error,DEFER until 2025-10-15 00:00:00,0.7881,Open,"Invoice INV00000059 has been flagged because it is scheduled to release 34 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 20.0%. Recommended action: DEFER."
AUD00000032,INV00000062,APPROVE,ML Risk Scorer + Rule Engine,2026-05-11 20:15:46,UPR,APPROVE until 2025-12-11 00:00:00,0.6724,Closed,"Invoice INV00000062 has been flagged because it is scheduled to release 9 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 21.7%. Recommended action: APPROVE."
AUD00000033,INV00000063,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:15:47,System error,DEFER until 2025-02-08 00:00:00,0.6536,Open,"Invoice INV00000063 has been flagged because it is scheduled to release 10 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 37.2%. Recommended action: DEFER."
AUD00000034,INV00000065,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:48,System error,HOLD until 2025-04-01 00:00:00,0.6234,Open,"Invoice INV00000065 has been flagged because it is scheduled to release 37 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 43.4%. Recommended action: HOLD."
AUD00000035,INV00000068,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:15:49,System error,DEFER until 2025-03-28 00:00:00,0.7924,Open,"Invoice INV00000068 has been flagged because it is scheduled to release 5 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 8.2%. Recommended action: DEFER."
AUD00000036,INV00000069,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:15:50,Insufficient audit trail,DEFER until 2025-04-03 00:00:00,0.3428,Open,"Invoice INV00000069 has been flagged because it is scheduled to release 5 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 34.1%. Recommended action: DEFER."
AUD00000037,INV00000070,ESCALATE,ML Risk Scorer + Rule Engine,2026-05-11 20:15:51,Behavioural,ESCALATE until 2026-01-21 00:00:00,0.7128,Open,"Invoice INV00000070 has been flagged because it is scheduled to release 14 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 31.6%. Recommended action: ESCALATE."
AUD00000038,INV00000071,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:52,System error,HOLD until 2025-10-02 00:00:00,0.7478,Open,"Invoice INV00000071 has been flagged because it is scheduled to release 24 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 12.3%. Recommended action: HOLD."
AUD00000039,INV00000075,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:53,System error,HOLD until 2026-02-18 00:00:00,0.6934,Open,"Invoice INV00000075 has been flagged because it is scheduled to release 25 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 23.0%. Recommended action: HOLD."
AUD00000040,INV00000077,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:54,Behavioural,HOLD until 2026-03-26 00:00:00,0.722,Open,"Invoice INV00000077 has been flagged because it is scheduled to release 29 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 32.8%. Recommended action: HOLD."
AUD00000041,INV00000078,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:55,System error,HOLD until 2025-05-06 00:00:00,0.6381,Open,"Invoice INV00000078 has been flagged because it is scheduled to release 16 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 20.8%. Recommended action: HOLD."
AUD00000042,INV00000081,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:56,Behavioural,HOLD until 2025-05-24 00:00:00,0.8728,Open,"Invoice INV00000081 has been flagged because it is scheduled to release 11 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 37.6%. Recommended action: HOLD."
AUD00000043,INV00000083,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:57,UPR,HOLD until 2025-09-14 00:00:00,0.8114,Open,"Invoice INV00000083 has been flagged because it is scheduled to release 13 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 9.9%. Recommended action: HOLD."
AUD00000044,INV00000084,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:58,UPR,HOLD until 2025-10-31 00:00:00,0.7542,Open,"Invoice INV00000084 has been flagged because it is scheduled to release 7 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 50.2%. Recommended action: HOLD."
AUD00000045,INV00000086,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:59,Behavioural,HOLD until 2025-09-17 00:00:00,0.8557,Open,"Invoice INV00000086 has been flagged because it is scheduled to release 9 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 12.0%. Recommended action: HOLD."
AUD00000046,INV00000087,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:00,System error,HOLD until 2025-06-01 00:00:00,0.5861,Open,"Invoice INV00000087 has been flagged because it is scheduled to release 24 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 29.9%. Recommended action: HOLD."
AUD00000047,INV00000088,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:01,Insufficient audit trail,HOLD until 2026-04-12 00:00:00,0.3713,Open,"Invoice INV00000088 has been flagged because it is scheduled to release 33 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 56.8%. Recommended action: HOLD."
AUD00000048,INV00000090,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:02,System error,HOLD until 2025-09-25 00:00:00,0.7684,Open,"Invoice INV00000090 has been flagged because it is scheduled to release 15 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 18.3%. Recommended action: HOLD."
AUD00000049,INV00000092,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:03,System error,HOLD until 2026-02-26 00:00:00,0.6188,Open,"Invoice INV00000092 has been flagged because it is scheduled to release 29 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 16.2%. Recommended action: HOLD."
AUD00000050,INV00000093,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:04,System error,HOLD until 2026-02-22 00:00:00,0.6473,Open,"Invoice INV00000093 has been flagged because it is scheduled to release 32 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 21.8%. Recommended action: HOLD."
AUD00000051,INV00000095,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:05,System error,HOLD until 2026-03-16 00:00:00,0.6293,Open,"Invoice INV00000095 has been flagged because it is scheduled to release 16 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 15.4%. Recommended action: HOLD."
AUD00000052,INV00000096,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:06,UPR,HOLD until 2025-11-13 00:00:00,0.7956,Open,"Invoice INV00000096 has been flagged because it is scheduled to release 7 days before the contractual due date, UPR flag is present, manual override is present, and the vendor historical early payment rate is 20.7%. Recommended action: HOLD."
AUD00000053,INV00000098,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:07,UPR,HOLD until 2025-11-22 00:00:00,0.8299,Open,"Invoice INV00000098 has been flagged because it is scheduled to release 4 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 27.4%. Recommended action: HOLD."
AUD00000054,INV00000101,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:08,Behavioural,HOLD until 2025-03-09 00:00:00,0.7068,Open,"Invoice INV00000101 has been flagged because it is scheduled to release 16 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 44.7%. Recommended action: HOLD."
AUD00000055,INV00000102,APPROVE,ML Risk Scorer + Rule Engine,2026-05-11 20:16:09,Not applicable / on-time,APPROVE until 2026-05-07 00:00:00,0.6829,Closed,"Invoice INV00000102 has been flagged because it is scheduled to release 0 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 7.1%. Recommended action: APPROVE."
AUD00000056,INV00000104,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:10,Insufficient audit trail,HOLD until 2025-05-21 00:00:00,0.3174,Open,"Invoice INV00000104 has been flagged because it is scheduled to release 23 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 18.5%. Recommended action: HOLD."
AUD00000057,INV00000105,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:16:11,System error,DEFER until 2025-12-24 00:00:00,0.6459,Open,"Invoice INV00000105 has been flagged because it is scheduled to release 4 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 35.8%. Recommended action: DEFER."
AUD00000058,INV00000108,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:12,Behavioural,HOLD until 2026-02-15 00:00:00,0.8948,Open,"Invoice INV00000108 has been flagged because it is scheduled to release 22 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 33.8%. Recommended action: HOLD."
AUD00000059,INV00000109,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:13,Behavioural,HOLD until 2025-07-30 00:00:00,0.6202,Open,"Invoice INV00000109 has been flagged because it is scheduled to release 15 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 13.0%. Recommended action: HOLD."
AUD00000060,INV00000110,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:14,Behavioural,HOLD until 2025-07-05 00:00:00,0.7206,Open,"Invoice INV00000110 has been flagged because it is scheduled to release 35 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 24.2%. Recommended action: HOLD."
AUD00000061,INV00000113,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:15,System error,HOLD until 2026-02-03 00:00:00,0.7127,Open,"Invoice INV00000113 has been flagged because it is scheduled to release 19 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 33.5%. Recommended action: HOLD."
AUD00000062,INV00000115,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:16:16,System error,DEFER until 2025-07-20 00:00:00,0.8077,Open,"Invoice INV00000115 has been flagged because it is scheduled to release 8 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 20.4%. Recommended action: DEFER."
AUD00000063,INV00000117,APPROVE,ML Risk Scorer + Rule Engine,2026-05-11 20:16:17,Not applicable / on-time,APPROVE until 2026-02-25 00:00:00,0.6559,Closed,"Invoice INV00000117 has been flagged because it is scheduled to release 0 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 8.7%. Recommended action: APPROVE."
AUD00000064,INV00000118,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:18,Behavioural,HOLD until 2025-03-07 00:00:00,0.8994,Open,"Invoice INV00000118 has been flagged because it is scheduled to release 23 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 55.0%. Recommended action: HOLD."
AUD00000065,INV00000119,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:19,Behavioural,HOLD until 2025-07-22 00:00:00,0.7593,Open,"Invoice INV00000119 has been flagged because it is scheduled to release 24 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 15.0%. Recommended action: HOLD."
AUD00000066,INV00000120,APPROVE,ML Risk Scorer + Rule Engine,2026-05-11 20:16:20,Behavioural,APPROVE until 2025-03-11 00:00:00,0.6742,Closed,"Invoice INV00000120 has been flagged because it is scheduled to release 10 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 11.5%. Recommended action: APPROVE."
AUD00000067,INV00000123,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:21,Insufficient audit trail,HOLD until 2025-06-26 00:00:00,0.357,Open,"Invoice INV00000123 has been flagged because it is scheduled to release 31 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 37.6%. Recommended action: HOLD."
AUD00000068,INV00000124,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:22,System error,HOLD until 2026-04-17 00:00:00,0.5374,Open,"Invoice INV00000124 has been flagged because it is scheduled to release 25 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 22.1%. Recommended action: HOLD."
AUD00000069,INV00000125,APPROVE,ML Risk Scorer + Rule Engine,2026-05-11 20:16:23,Not applicable / on-time,APPROVE until 2025-12-13 00:00:00,0.7305,Closed,"Invoice INV00000125 has been flagged because it is scheduled to release 0 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 35.7%. Recommended action: APPROVE."
AUD00000070,INV00000126,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:24,Behavioural,HOLD until 2026-04-22 00:00:00,0.7415,Open,"Invoice INV00000126 has been flagged because it is scheduled to release 24 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 21.8%. Recommended action: HOLD."
AUD00000071,INV00000129,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:25,System error,HOLD until 2025-05-17 00:00:00,0.6603,Open,"Invoice INV00000129 has been flagged because it is scheduled to release 30 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 20.6%. Recommended action: HOLD."
AUD00000072,INV00000133,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:26,Insufficient audit trail,HOLD until 2025-11-12 00:00:00,0.3038,Open,"Invoice INV00000133 has been flagged because it is scheduled to release 18 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 36.6%. Recommended action: HOLD."
AUD00000073,INV00000134,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:27,System error,HOLD until 2025-10-16 00:00:00,0.6788,Open,"Invoice INV00000134 has been flagged because it is scheduled to release 19 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 31.2%. Recommended action: HOLD."
AUD00000074,INV00000135,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:28,System error,HOLD until 2025-12-12 00:00:00,0.804,Open,"Invoice INV00000135 has been flagged because it is scheduled to release 22 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 12.6%. Recommended action: HOLD."
AUD00000075,INV00000137,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:29,Behavioural,HOLD until 2026-04-15 00:00:00,0.8959,Open,"Invoice INV00000137 has been flagged because it is scheduled to release 35 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 20.2%. Recommended action: HOLD."
AUD00000076,INV00000139,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:16:30,UPR,DEFER until 2025-06-25 00:00:00,0.5765,Open,"Invoice INV00000139 has been flagged because it is scheduled to release 13 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 45.1%. Recommended action: DEFER."
AUD00000077,INV00000141,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:31,System error,HOLD until 2026-03-14 00:00:00,0.7966,Open,"Invoice INV00000141 has been flagged because it is scheduled to release 25 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 35.7%. Recommended action: HOLD."
AUD00000078,INV00000142,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:16:32,System error,DEFER until 2026-02-13 00:00:00,0.7793,Open,"Invoice INV00000142 has been flagged because it is scheduled to release 6 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 15.0%. Recommended action: DEFER."
AUD00000079,INV00000143,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:16:33,Not applicable / on-time,DEFER until 2026-04-01 00:00:00,0.5628,Open,"Invoice INV00000143 has been flagged because it is scheduled to release 0 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 29.1%. Recommended action: DEFER."
AUD00000080,INV00000144,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:34,Insufficient audit trail,HOLD until 2025-10-11 00:00:00,0.5879,Open,"Invoice INV00000144 has been flagged because it is scheduled to release 20 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 6.8%. Recommended action: HOLD."
AUD00000081,INV00000145,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:35,System error,HOLD until 2026-01-27 00:00:00,0.6927,Open,"Invoice INV00000145 has been flagged because it is scheduled to release 35 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 41.1%. Recommended action: HOLD."
AUD00000082,INV00000147,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:36,UPR,HOLD until 2025-02-03 00:00:00,0.8448,Open,"Invoice INV00000147 has been flagged because it is scheduled to release 16 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 33.8%. Recommended action: HOLD."
AUD00000083,INV00000148,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:16:37,System error,HOLD until 2026-02-11 00:00:00,0.8018,Open,"Invoice INV00000148 has been flagged because it is scheduled to release 31 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 28.1%. Recommended action: HOLD."
AUD00000084,INV00000151,APPROVE,ML Risk Scorer + Rule Engine,2026-05-11 20:16:38,Not applicable / on-time,APPROVE until 2026-05-30 00:00:00,0.7405,Closed,"Invoice INV00000151 has been flagged because it is scheduled to release 0 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 20.2%. Recommended action: APPROVE."
