invoice_id,vendor_id,po_id,contract_id,processor_id,market,currency,invoice_date,invoice_receipt_date,invoice_amount,invoice_payment_term,invoice_priority,approval_status,scenario_label,vendor_name,vendor_category,vendor_country,vendor_payment_term,vendor_risk_rating,historical_early_payment_rate,po_payment_term,po_amount,buying_team,contract_payment_term,agreement_type,sap_due_date,sap_payment_release_date,payment_status,payment_method,queue_entry_date,queue_age_days,workflow_status,workflow_notes,manual_override_flag,sap_error_code,time_of_day,processor_name,team,avg_daily_volume,historical_manual_override_rate,historical_early_release_rate,upr_flag,upr_reason,upr_approval_status,upr_requested_by,upr_documented_flag,source_of_truth_payment_term,contractual_due_date,recommended_release_date,days_to_contractual_due_date,days_paid_early,early_payment_flag,payment_term_mismatch_flag,po_invoice_term_delta,sap_contract_due_date_delta,vendor_early_payment_rate,processor_early_release_rate,processor_manual_override_rate,month_end_flag,weekend_release_flag,high_value_invoice_flag,upr_missing_but_early_flag,sap_error_present_flag,market_risk_score,workflow_risk_signal,approval_risk_score,amount_log,amount_band,root_cause_label,invoice_month,rule_based_term,rule_based_recommended_release_date,target_adjustment_days,true_recommended_release_date,predicted_adjustment_days,override_confidence
INV00000011,V00399,PO0000520,CT000399,P0055,UK,GBP,2025-12-01,2025-12-03,67502.24,60,High,Approved,LEGITIMATE_UPR_EARLY_PAYMENT,"Brewer, Roberts and Wood",Raw Materials,UK,60,Low,0.362,90,12070.43,Ice Cream,60,Standard,2026-02-01,2026-01-24,Queued,Wire,2025-12-05,13,Approved,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Morning,Processor 055,AP Americas,152,0.1643,0.1814,1,Executive exception,Approved,Business Unit,1,60,2026-02-01,2026-01-31,8,8,1,1,30,0,0.362,0.1814,0.1643,0,1,0,0,0,0.22,0.55,0.2,11.119930875708658,Very High,UPR,2026-01,60,2026-02-01,0,2026-02-01,-1,0.8333
INV00000012,V00335,PO0000595,CT000335,P0020,India,EUR,2026-03-04,2026-03-07,35999.97,45,High,Approved,PAYMENT_TERM_MISMATCH,"Ramsey, Kelley and Williams",Raw Materials,India,60,Low,0.3757,60,36983.3,Nutrition,60,Standard,2026-05-06,2026-04-25,Queued,Wire,2026-03-08,6,Approved,Cora/SAP date logic issue detected with code CORA_SYNC_ERR; payment term mapping requires review.,0,CORA_SYNC_ERR,Morning,Processor 020,AP Europe,60,0.2313,0.1315,0,,Not Applicable,,0,60,2026-05-06,2026-05-12,11,11,1,1,15,0,0.3757,0.1315,0.2313,1,1,0,1,1,0.35,0.65,0.2,10.491301161519697,High,System error,2026-04,60,2026-05-06,8,2026-05-14,6,0.6667
INV00000013,V00177,PO0000477,CT000177,P0078,UK,INR,2025-10-21,2025-10-26,53869.38,60,High,Approved,NORMAL_ON_TIME,Berg Group,Marketing,UK,60,Medium,0.1219,60,44822.76,Home Care,60,Strategic,2025-12-25,2025-12-27,Queued,ACH,2025-10-27,9,Released,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning,Processor 078,AP SEA,73,0.2089,0.079,0,,Not Applicable,,0,60,2025-12-25,2025-12-25,-2,0,0,0,0,0,0.1219,0.079,0.2089,1,1,0,0,0,0.22,0.0,0.2,10.894336069668634,Very High,Not applicable / on-time,2025-12,60,2025-12-25,-3,2025-12-22,0,0.5
INV00000014,V00390,PO0001082,CT000390,P0003,South Africa,GBP,2025-09-27,2025-10-01,2322.97,90,High,Pending,LOW_RISK_STANDARD_PROCESS,"Lester, Marsh and Boyle",Packaging,South Africa,90,Low,0.0834,90,25776.89,Corporate,60,Standard,2025-11-30,2025-11-22,Queued,ACH,2025-10-04,9,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon,Processor 003,AP India,167,0.2263,0.2599,0,,Not Applicable,,0,60,2025-11-30,2025-11-30,8,8,1,0,0,0,0.0834,0.2599,0.2263,0,1,0,1,0,0.4,0.7,0.55,7.751032209110514,Low,Behavioural,2025-11,60,2025-11-30,0,2025-11-30,0,1.0
INV00000015,V00195,PO0000044,CT000195,P0066,India,MXN,2025-04-17,2025-04-19,23400.37,30,Medium,Approved,REPEAT_VENDOR_PATTERN,"Jones, Morris and Meyers",Raw Materials,India,30,Low,0.3674,30,233040.02,Ice Cream,30,Standard,2025-05-19,2025-05-10,Queued,ACH,2025-04-21,15,Released,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Evening,Processor 066,AP SEA,78,0.131,0.43,0,,Not Applicable,,0,30,2025-05-19,2025-05-20,9,9,1,0,0,0,0.3674,0.43,0.131,0,1,0,1,0,0.35,0.6,0.2,10.06054984664053,High,Behavioural,2025-05,30,2025-05-19,0,2025-05-19,1,0.8333
INV00000016,V00289,PO0000249,CT000289,P0024,Brazil,EUR,2025-05-08,2025-05-12,105166.46,45,Medium,Pending,NORMAL_ON_TIME,"Davis, Duncan and Robertson",Professional Services,Brazil,45,Medium,0.0916,45,10065.54,Home Care,45,Standard,2025-06-26,2025-06-29,Queued,NEFT,2025-05-14,13,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Evening,Processor 024,AP LATAM,74,0.359,0.0502,0,,Not Applicable,,0,45,2025-06-26,2025-06-27,-3,0,0,0,0,0,0.0916,0.0502,0.359,1,1,1,0,0,0.42,0.0,0.55,11.56330921584846,Very High,Not applicable / on-time,2025-06,45,2025-06-26,0,2025-06-26,1,0.8333
INV00000017,V00077,PO0000281,CT000077,P0058,USA,GBP,2025-05-30,2025-06-06,28390.81,45,Medium,Approved,NORMAL_ON_TIME,Vaughn-Williams,IT Services,USA,45,Low,0.2447,45,15954.78,Corporate,45,Standard,2025-07-21,2025-07-26,Queued,Wire,2025-06-10,11,Released,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning,Processor 058,AP Europe,151,0.5731,0.0684,0,,Not Applicable,,0,45,2025-07-21,2025-07-21,-5,0,0,0,0,0,0.2447,0.0684,0.5731,1,1,0,0,0,0.25,0.0,0.2,10.253856002278019,High,Not applicable / on-time,2025-07,45,2025-07-21,0,2025-07-21,0,1.0
INV00000018,V00046,PO0000122,CT000046,P0044,South Africa,EUR,2025-05-21,2025-05-23,44163.63,45,High,Approved,CORA_SAP_SYSTEM_ERROR,"Howard, Knight and Hines",Facilities,South Africa,60,Low,0.0847,45,15380.1,Beauty,90,Standard,2025-08-11,2025-08-02,Queued,Wire,2025-05-24,2,Held,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,0,SAP_BLOCK_MISS,Morning,Processor 044,AP Americas,73,0.2386,0.1612,0,,Not Applicable,,0,90,2025-08-21,2025-08-25,19,19,1,0,0,-10,0.0847,0.1612,0.2386,0,1,0,1,1,0.4,0.65,0.2,10.69567952146951,Very High,System error,2025-08,90,2025-08-21,4,2025-08-25,4,1.0
INV00000019,V00222,PO0000684,CT000222,P0052,Brazil,ZAR,2025-09-28,2025-09-30,16952.86,60,Critical,Approved,CORA_SAP_SYSTEM_ERROR,"Sanders, White and Valdez",Facilities,Brazil,60,Medium,0.1956,60,56635.93,Nutrition,60,Standard,2025-11-26,2025-10-28,Queued,ACH,2025-10-04,1,Approved,Cora/SAP date logic issue detected with code DATE_MAP_ERR; payment term mapping requires review.,0,DATE_MAP_ERR,Late Night,Processor 052,AP India,48,0.3964,0.4174,0,,Not Applicable,,0,60,2025-11-29,2025-12-03,32,32,1,0,0,-3,0.1956,0.4174,0.3964,1,0,0,1,1,0.42,0.65,0.2,9.738250815495942,Medium,System error,2025-10,60,2025-11-29,4,2025-12-03,4,1.0
INV00000020,V00138,PO0000717,CT000138,P0040,Brazil,GBP,2026-01-31,2026-01-31,110394.42,45,Critical,Approved,HIGH_VALUE_MANUAL_OVERRIDE,Johnson-Beltran,Packaging,Brazil,45,Low,0.3193,45,11720.06,Nutrition,45,Exception,2026-03-17,2026-03-07,Queued,ACH,2026-02-04,1,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon,Processor 040,AP Europe,48,0.3109,0.5052,0,,Not Applicable,,0,45,2026-03-17,2026-03-18,10,10,1,0,0,0,0.3193,0.5052,0.3109,0,1,1,1,0,0.42,0.7,0.2,11.611823926457339,Very High,Behavioural,2026-03,45,2026-03-17,3,2026-03-20,1,0.6667
INV00000021,V00040,PO0000688,CT000040,P0048,Germany,ZAR,2025-01-17,2025-01-20,71157.71,60,Medium,Approved,REPEAT_VENDOR_PATTERN,"Bishop, Villarreal and Reyes",Marketing,Germany,60,Medium,0.6272,60,47780.5,Foods,60,Strategic,2025-03-21,2025-03-22,Queued,ACH,2025-01-20,11,Approved,Scenario REPEAT_VENDOR_PATTERN: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon,Processor 048,AP Africa,82,0.1879,0.0768,0,,Not Applicable,,0,60,2025-03-21,2025-03-21,-1,0,0,0,0,0,0.6272,0.0768,0.1879,0,1,0,0,0,0.18,0.0,0.2,11.172668013453565,Very High,Not applicable / on-time,2025-03,60,2025-03-21,0,2025-03-21,0,1.0
INV00000022,V00036,PO0001063,CT000036,P0064,USA,IDR,2025-10-09,2025-10-11,8076.57,30,High,Approved,BEHAVIOURAL_QUEUE_CLEARANCE,Carey and Sons,Facilities,USA,30,High,0.3586,30,140082.62,Foods,30,Strategic,2025-11-10,2025-10-09,Held,ACH,2025-10-14,21,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon,Processor 064,AP Africa,75,0.3606,0.4673,0,,Not Applicable,,0,30,2025-11-10,2025-11-10,32,32,1,0,0,0,0.3586,0.4673,0.3606,0,0,0,1,0,0.25,0.7,0.2,8.996846363708766,Low,Behavioural,2025-10,30,2025-11-10,0,2025-11-10,0,1.0
INV00000023,V00321,PO0000235,CT000321,P0075,Mexico,GBP,2025-12-11,2025-12-17,7287.96,90,Medium,Approved,NORMAL_ON_TIME,Mendez-Williams,Packaging,Mexico,30,Low,0.2165,30,11548.61,Ice Cream,30,Exception,2026-01-13,2026-01-19,Queued,ACH,2025-12-17,1,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Late Night,Processor 075,AP Europe,97,0.2261,0.238,0,,Not Applicable,,0,30,2026-01-16,2026-01-18,-3,0,0,1,-60,-3,0.2165,0.238,0.2261,0,0,0,0,0,0.36,0.0,0.2,8.894116153645932,Low,Not applicable / on-time,2026-01,30,2026-01-16,3,2026-01-19,2,0.8333
INV00000024,V00253,PO0000793,CT000253,P0038,UK,BRL,2025-07-21,2025-07-21,9876.12,90,High,Approved,LEGITIMATE_UPR_EARLY_PAYMENT,Vincent-Ritter,Marketing,UK,90,Low,0.3013,90,166444.78,Beauty,90,Strategic,2025-10-21,2025-10-03,Queued,ACH,2025-07-22,10,Approved,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,SAP_BLOCK_MISS,Late Night,Processor 038,AP India,114,0.0794,0.3779,1,Port clearance,Rejected,Finance Lead,1,90,2025-10-19,2025-10-23,16,16,1,0,0,2,0.3013,0.3779,0.0794,0,0,0,0,1,0.22,0.55,0.2,9.197976250272411,Medium,System error,2025-10,90,2025-10-19,2,2025-10-21,4,0.6667
INV00000025,V00141,PO0000144,CT000141,P0085,Brazil,USD,2025-05-06,2025-05-10,16724.31,30,Medium,Pending,REPEAT_VENDOR_PATTERN,Long PLC,Logistics,Brazil,30,High,0.5463,30,25414.43,Nutrition,30,Standard,2025-06-09,2025-05-31,Held,NEFT,2025-05-11,6,Approved,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Late Night,Processor 085,AP Africa,69,0.122,0.4229,0,,Not Applicable,,0,30,2025-06-09,2025-06-10,9,9,1,0,0,0,0.5463,0.4229,0.122,1,1,0,1,0,0.42,0.6,0.55,9.724678419951712,Medium,Behavioural,2025-05,30,2025-06-09,2,2025-06-11,1,0.8333
INV00000026,V00420,PO0001208,CT000420,P0081,Mexico,ZAR,2025-07-16,2025-07-22,3009.13,60,Medium,Approved,LOW_RISK_STANDARD_PROCESS,Martin-Bell,Raw Materials,Mexico,45,High,0.1473,45,40381.64,Beauty,45,Strategic,2025-09-05,2025-09-11,Queued,NEFT,2025-07-23,16,Approved,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon,Processor 081,AP India,100,0.1308,0.1172,0,,Not Applicable,,0,45,2025-09-05,2025-09-07,-6,0,0,1,-15,0,0.1473,0.1172,0.1308,0,0,0,0,0,0.36,0.0,0.2,8.009738546179058,Low,Not applicable / on-time,2025-09,45,2025-09-05,2,2025-09-07,2,1.0
INV00000027,V00366,PO0000733,CT000366,P0072,UK,ZAR,2026-01-12,2026-01-14,237456.95,30,High,Approved,HIGH_VALUE_MANUAL_OVERRIDE,Hanson Ltd,Logistics,UK,30,Low,0.2049,30,56589.73,Home Care,30,Standard,2026-02-13,2026-01-15,Queued,Wire,2026-01-16,6,Pending,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon,Processor 072,AP Africa,188,0.3462,0.3203,0,,Not Applicable,,0,30,2026-02-13,2026-02-14,29,29,1,0,0,0,0.2049,0.3203,0.3462,0,0,1,1,0,0.22,0.7,0.2,12.377745834149586,Very High,Behavioural,2026-01,30,2026-02-13,1,2026-02-14,1,1.0
INV00000028,V00158,PO0001001,CT000158,P0054,Germany,GBP,2026-02-21,2026-02-21,13732.78,45,Medium,Approved,CORA_SAP_SYSTEM_ERROR,"Weaver, Gordon and Parker",Raw Materials,Germany,45,Low,0.3646,45,168297.58,Corporate,45,Standard,2026-04-07,2026-03-20,Queued,Wire,2026-02-23,13,Approved,Cora/SAP date logic issue detected with code DATE_MAP_ERR; payment term mapping requires review.,1,DATE_MAP_ERR,Morning,Processor 054,AP Americas,114,0.1187,0.1289,0,,Not Applicable,,0,45,2026-04-07,2026-04-11,18,18,1,0,0,0,0.3646,0.1289,0.1187,0,0,0,1,1,0.18,0.65,0.2,9.52761377041245,Medium,System error,2026-03,45,2026-04-07,2,2026-04-09,4,0.6667
INV00000029,V00293,PO0000566,CT000293,P0004,Mexico,EUR,2025-11-08,2025-11-13,39989.56,45,Medium,Pending,NORMAL_ON_TIME,Owens-Wood,Marketing,Mexico,60,Low,0.0134,60,81835.04,Nutrition,60,Standard,2026-01-14,2026-01-12,Held,ACH,2025-11-14,17,Held,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning,Processor 004,AP Americas,184,0.0931,0.1962,0,,Not Applicable,,0,60,2026-01-12,2026-01-14,0,0,0,1,15,2,0.0134,0.1962,0.0931,0,0,0,0,0,0.36,0.0,0.55,10.596398705243692,Very High,Not applicable / on-time,2026-01,60,2026-01-12,2,2026-01-14,2,1.0
INV00000030,V00069,PO0000282,CT000069,P0048,India,INR,2025-08-09,2025-08-13,1763.36,45,Critical,Approved,LEGITIMATE_UPR_EARLY_PAYMENT,Le and Sons,Professional Services,India,45,Low,0.0855,45,68799.59,Foods,45,Standard,2025-09-27,2025-09-13,Queued,NEFT,2025-08-17,6,Pending,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Morning,Processor 048,AP Africa,82,0.1879,0.0768,1,Executive exception,Pending,Plant Manager,0,45,2025-09-27,2025-09-25,14,14,1,0,0,0,0.0855,0.0768,0.1879,0,1,0,0,0,0.35,0.55,0.2,7.475543297377566,Low,UPR,2025-09,45,2025-09-27,-2,2025-09-25,-2,1.0
INV00000031,V00205,PO0000137,CT000205,P0040,India,MXN,2025-10-21,2025-10-25,40150.86,90,Medium,Pending,BEHAVIOURAL_QUEUE_CLEARANCE,"Thompson, Huynh and Navarro",Packaging,India,90,Low,0.0861,30,9665.28,Beauty,90,Strategic,2026-01-23,2025-12-16,Held,ACH,2025-10-26,15,Held,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Late Night,Processor 040,AP Europe,48,0.3109,0.5052,0,,Not Applicable,,0,90,2026-01-23,2026-01-23,38,38,1,1,-60,0,0.0861,0.5052,0.3109,0,0,0,1,0,0.35,0.7,0.55,10.600424044578343,Very High,Behavioural,2025-12,90,2026-01-23,-1,2026-01-22,2,0.5
INV00000032,V00113,PO0000668,CT000113,P0015,USA,IDR,2025-11-05,2025-11-12,66419.08,30,Medium,Approved,NORMAL_ON_TIME,Wang-Williams,IT Services,USA,30,Low,0.5132,30,31681.21,Beauty,30,Strategic,2025-12-12,2025-12-01,Queued,ACH,2025-11-12,17,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Morning,Processor 015,AP Europe,104,0.1454,0.1973,0,,Not Applicable,,0,30,2025-12-12,2025-12-12,11,11,1,0,0,0,0.5132,0.1973,0.1454,0,0,0,1,0,0.25,0.7,0.2,11.103754699386501,Very High,Behavioural,2025-12,30,2025-12-12,0,2025-12-12,0,1.0
INV00000033,V00106,PO0001018,CT000106,P0078,Indonesia,USD,2025-12-16,2025-12-16,25860.58,45,Low,Approved,LOW_RISK_STANDARD_PROCESS,Alexander-Everett,Raw Materials,Indonesia,30,Low,0.1503,30,105168.2,Nutrition,30,Standard,2026-01-15,2026-01-16,Queued,Cheque,2025-12-19,15,Approved,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Evening,Processor 078,AP SEA,73,0.2089,0.079,0,,Not Applicable,,0,30,2026-01-15,2026-01-17,-1,0,0,1,-15,0,0.1503,0.079,0.2089,0,0,0,0,0,0.38,0.0,0.2,10.16051374868062,High,Not applicable / on-time,2026-01,30,2026-01-15,2,2026-01-17,2,1.0
INV00000034,V00240,PO0000009,CT000240,P0001,India,USD,2025-03-07,2025-03-08,16840.13,45,Low,Pending,BEHAVIOURAL_QUEUE_CLEARANCE,Robles-Jones,Logistics,India,30,Low,0.0625,30,14513.07,Beauty,30,Standard,2025-04-09,2025-03-08,Queued,SEPA,2025-03-11,17,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,0,NONE,Evening,Processor 001,AP India,155,0.4192,0.2754,0,,Not Applicable,,0,30,2025-04-07,2025-04-09,30,30,1,1,-15,2,0.0625,0.2754,0.4192,0,1,0,1,0,0.35,0.7,0.55,9.731579387682837,Medium,Behavioural,2025-03,30,2025-04-07,2,2025-04-09,2,1.0
INV00000035,V00054,PO0000052,CT000054,P0056,Germany,EUR,2025-02-04,2025-02-07,40475.96,30,Medium,Approved,NORMAL_ON_TIME,"Ball, Zamora and Mcpherson",Facilities,Germany,30,Low,0.5078,90,50659.91,Beauty,45,Exception,2025-03-24,2025-03-30,Queued,ACH,2025-02-08,5,Held,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon,Processor 056,AP Africa,104,0.0713,0.3449,0,,Not Applicable,,0,45,2025-03-24,2025-03-26,-6,0,0,1,60,0,0.5078,0.3449,0.0713,1,1,0,0,0,0.18,0.0,0.2,10.608488202327061,Very High,Not applicable / on-time,2025-03,45,2025-03-24,3,2025-03-27,2,0.8333
