invoice_id,queue_entry_date,queue_age_days,workflow_status,workflow_notes,manual_override_flag,sap_error_code,time_of_day
INV00000027,2026-01-16,6,Pending,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon
INV00000028,2026-02-23,13,Approved,Cora/SAP date logic issue detected with code DATE_MAP_ERR; payment term mapping requires review.,1,DATE_MAP_ERR,Morning
INV00000029,2025-11-14,17,Held,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000030,2025-08-17,6,Pending,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Morning
INV00000031,2025-10-26,15,Held,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Late Night
INV00000032,2025-11-12,17,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Morning
INV00000033,2025-12-19,15,Approved,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Evening
INV00000034,2025-03-11,17,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,0,NONE,Evening
INV00000035,2025-02-08,5,Held,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000036,2025-06-12,9,Approved,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000037,2025-05-08,19,Pending,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Evening
INV00000038,2025-10-13,13,Pending,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Late Night
INV00000039,2025-08-30,15,Held,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Afternoon
INV00000040,2026-03-01,15,Held,Scenario HIGH_VALUE_MANUAL_OVERRIDE: standard queue movement; payment not before contractual due date.,0,NONE,Evening
INV00000041,2025-12-26,7,Released,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Morning
INV00000042,2025-03-15,12,Held,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Evening
INV00000043,2026-01-24,12,Held,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,1,NONE,Morning
INV00000044,2025-12-23,22,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Late Night
INV00000045,2025-06-30,15,Pending,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000046,2025-02-02,12,Approved,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Late Night
INV00000047,2026-01-08,3,Pending,Cora/SAP date logic issue detected with code TERM_CFG_ERR; payment term mapping requires review.,0,TERM_CFG_ERR,Evening
INV00000048,2025-04-03,6,Approved,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000049,2025-04-14,5,Approved,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,0,SAP_BLOCK_MISS,Morning
INV00000050,2025-08-07,16,Held,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Morning
INV00000051,2025-02-15,10,Held,Scenario REPEAT_VENDOR_PATTERN: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000052,2025-07-11,0,Pending,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Evening
INV00000053,2025-04-29,6,Released,Scenario REPEAT_VENDOR_PATTERN: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000054,2025-01-28,12,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Evening
INV00000055,2026-02-19,16,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon
INV00000056,2025-05-04,11,Pending,Scenario REPEAT_VENDOR_PATTERN: standard queue movement; payment not before contractual due date.,1,NONE,Evening
INV00000057,2025-09-13,12,Approved,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Evening
INV00000058,2026-01-13,1,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Evening
INV00000059,2025-08-16,15,Approved,Cora/SAP date logic issue detected with code DATE_MAP_ERR; payment term mapping requires review.,0,DATE_MAP_ERR,Morning
INV00000060,2025-05-23,12,Released,Scenario PAYMENT_TERM_MISMATCH: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000061,2025-12-15,6,Released,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000062,2025-11-16,8,Pending,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Evening
INV00000063,2025-01-11,4,Pending,Cora/SAP date logic issue detected with code CORA_SYNC_ERR; payment term mapping requires review.,1,CORA_SYNC_ERR,Morning
INV00000064,2026-01-13,10,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000065,2025-02-27,13,Released,Cora/SAP date logic issue detected with code TERM_CFG_ERR; payment term mapping requires review.,0,TERM_CFG_ERR,Morning
INV00000066,2025-12-09,9,Held,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000067,2025-02-17,10,Pending,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Evening
INV00000068,2025-02-07,13,Approved,Cora/SAP date logic issue detected with code DATE_MAP_ERR; payment term mapping requires review.,0,DATE_MAP_ERR,Afternoon
INV00000069,2025-02-28,13,Released,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Morning
INV00000070,2025-12-05,13,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,0,NONE,Morning
INV00000071,2025-08-01,16,Pending,Cora/SAP date logic issue detected with code TERM_CFG_ERR; payment term mapping requires review.,0,TERM_CFG_ERR,Morning
INV00000072,2025-10-08,12,Pending,Scenario LEGITIMATE_UPR_EARLY_PAYMENT: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000073,2025-05-11,4,Approved,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,1,NONE,Morning
INV00000074,2025-03-07,4,Held,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000075,2025-12-31,13,Approved,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,0,SAP_BLOCK_MISS,Morning
INV00000076,2026-01-21,6,Approved,Scenario BEHAVIOURAL_QUEUE_CLEARANCE: standard queue movement; payment not before contractual due date.,1,NONE,Afternoon
INV00000077,2026-01-26,13,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Evening
INV00000078,2025-02-07,14,Approved,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,0,SAP_BLOCK_MISS,Afternoon
INV00000079,2026-03-02,4,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000080,2025-09-07,13,Pending,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000081,2025-04-11,22,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon
INV00000082,2025-04-10,7,Released,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000083,2025-08-18,5,Approved,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Afternoon
INV00000084,2025-10-03,6,Held,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Afternoon
INV00000085,2025-01-26,0,Approved,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000086,2025-08-21,21,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon
INV00000087,2025-04-26,7,Approved,Cora/SAP date logic issue detected with code CORA_SYNC_ERR; payment term mapping requires review.,0,CORA_SYNC_ERR,Evening
INV00000088,2026-02-28,17,Pending,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Late Night
INV00000089,2025-10-12,6,Held,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,1,NONE,Morning
INV00000090,2025-06-24,2,Released,Cora/SAP date logic issue detected with code DATE_MAP_ERR; payment term mapping requires review.,1,DATE_MAP_ERR,Afternoon
INV00000091,2025-07-13,0,Pending,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000092,2026-01-22,11,Held,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,0,SAP_BLOCK_MISS,Afternoon
INV00000093,2025-11-21,6,Pending,Cora/SAP date logic issue detected with code CORA_SYNC_ERR; payment term mapping requires review.,0,CORA_SYNC_ERR,Evening
INV00000094,2025-07-03,3,Pending,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000095,2026-01-24,6,Approved,Cora/SAP date logic issue detected with code TERM_CFG_ERR; payment term mapping requires review.,0,TERM_CFG_ERR,Afternoon
INV00000096,2025-10-18,14,Pending,Urgent payment request submitted by business; approval/documentation requires validation before release.,1,NONE,Morning
INV00000097,2025-02-04,9,Pending,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Evening
INV00000098,2025-10-22,12,Approved,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Morning
INV00000099,2026-03-09,8,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000100,2026-02-02,15,Approved,Scenario REPEAT_VENDOR_PATTERN: standard queue movement; payment not before contractual due date.,0,NONE,Late Night
INV00000101,2025-01-25,16,Held,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Evening
INV00000102,2026-02-10,24,Approved,Scenario BEHAVIOURAL_QUEUE_CLEARANCE: standard queue movement; payment not before contractual due date.,1,NONE,Late Night
INV00000103,2026-03-24,12,Held,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Morning
INV00000104,2025-03-17,5,Approved,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Late Night
INV00000105,2025-10-23,16,Released,Cora/SAP date logic issue detected with code TERM_CFG_ERR; payment term mapping requires review.,0,TERM_CFG_ERR,Evening
INV00000106,2025-12-11,9,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000107,2025-01-28,14,Approved,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,1,NONE,Evening
INV00000108,2026-01-19,7,Held,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Morning
INV00000109,2025-06-30,2,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Morning
INV00000110,2025-05-21,16,Held,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Evening
INV00000111,2025-05-05,9,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000112,2025-08-26,1,Pending,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000113,2026-01-03,3,Released,Cora/SAP date logic issue detected with code CORA_SYNC_ERR; payment term mapping requires review.,0,CORA_SYNC_ERR,Afternoon
INV00000114,2026-01-13,4,Held,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000115,2025-04-18,7,Approved,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,0,SAP_BLOCK_MISS,Evening
INV00000116,2026-01-20,3,Approved,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000117,2026-01-12,15,Pending,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000118,2025-02-03,27,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Late Night
INV00000119,2025-05-26,2,Pending,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon
INV00000120,2025-01-12,16,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon
INV00000121,2026-04-01,16,Approved,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Afternoon
INV00000122,2025-08-10,14,Pending,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000123,2025-05-13,6,Released,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Afternoon
INV00000124,2026-02-13,4,Approved,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,0,SAP_BLOCK_MISS,Morning
INV00000125,2025-11-15,11,Approved,Scenario LEGITIMATE_UPR_EARLY_PAYMENT: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000126,2026-03-10,27,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,0,NONE,Evening
INV00000127,2026-01-09,8,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Evening
INV00000128,2026-03-13,9,Held,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Late Night
INV00000129,2025-04-15,9,Released,Cora/SAP date logic issue detected with code TERM_CFG_ERR; payment term mapping requires review.,1,TERM_CFG_ERR,Morning
INV00000130,2025-04-11,10,Released,Scenario CORA_SAP_SYSTEM_ERROR: standard queue movement; payment not before contractual due date.,1,TERM_CFG_ERR,Evening
INV00000131,2025-02-11,11,Released,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000132,2025-06-12,5,Pending,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000133,2025-09-13,12,Held,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Afternoon
INV00000134,2025-09-16,11,Approved,Cora/SAP date logic issue detected with code DATE_MAP_ERR; payment term mapping requires review.,1,DATE_MAP_ERR,Evening
INV00000135,2025-11-12,3,Pending,Cora/SAP date logic issue detected with code CORA_SYNC_ERR; payment term mapping requires review.,0,CORA_SYNC_ERR,Afternoon
INV00000136,2025-12-07,11,Held,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Evening
INV00000137,2026-01-16,13,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Evening
INV00000138,2025-09-01,13,Pending,Scenario REPEAT_VENDOR_PATTERN: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000139,2025-05-11,13,Held,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Afternoon
INV00000140,2025-07-23,9,Pending,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000141,2026-02-09,17,Released,Cora/SAP date logic issue detected with code DATE_MAP_ERR; payment term mapping requires review.,1,DATE_MAP_ERR,Late Night
INV00000142,2026-01-11,13,Approved,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,1,SAP_BLOCK_MISS,Morning
INV00000143,2026-03-01,17,Released,Scenario PAYMENT_TERM_MISMATCH: standard queue movement; payment not before contractual due date.,0,NONE,Evening
INV00000144,2025-09-12,28,Pending,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Evening
INV00000145,2025-12-26,0,Approved,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,0,SAP_BLOCK_MISS,Afternoon
INV00000146,2025-07-11,5,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000147,2025-01-07,16,Pending,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Late Night
INV00000148,2025-12-08,11,Approved,Cora/SAP date logic issue detected with code DATE_MAP_ERR; payment term mapping requires review.,0,DATE_MAP_ERR,Afternoon
INV00000149,2025-02-10,7,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000150,2025-10-24,10,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000151,2026-04-01,29,Approved,Scenario BEHAVIOURAL_QUEUE_CLEARANCE: standard queue movement; payment not before contractual due date.,1,NONE,Late Night
INV00000152,2025-01-19,13,Pending,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,1,NONE,Morning
INV00000153,2025-12-04,8,Released,Scenario PAYMENT_TERM_MISMATCH: standard queue movement; payment not before contractual due date.,1,NONE,Morning
INV00000154,2026-02-06,13,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000155,2025-10-16,13,Approved,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,1,NONE,Morning
INV00000156,2025-11-17,12,Released,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000157,2026-02-23,22,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,0,NONE,Afternoon
INV00000158,2025-12-27,13,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Evening
INV00000159,2025-01-25,15,Pending,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Afternoon
INV00000160,2025-12-23,3,Approved,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Evening
INV00000161,2025-12-20,1,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,1,NONE,Afternoon
INV00000162,2025-04-17,13,Released,Scenario BEHAVIOURAL_QUEUE_CLEARANCE: standard queue movement; payment not before contractual due date.,1,NONE,Afternoon
INV00000163,2025-11-04,29,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Late Night
INV00000164,2026-01-26,18,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon
INV00000165,2026-01-23,8,Held,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000166,2026-02-04,6,Pending,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,0,SAP_BLOCK_MISS,Afternoon
INV00000167,2025-12-22,5,Pending,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,1,NONE,Afternoon
INV00000168,2025-03-06,3,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000169,2025-08-16,12,Approved,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Morning
INV00000170,2025-04-21,12,Pending,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000171,2025-02-08,7,Held,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000172,2025-05-06,12,Approved,Cora/SAP date logic issue detected with code CORA_SYNC_ERR; payment term mapping requires review.,0,CORA_SYNC_ERR,Afternoon
INV00000173,2026-02-25,10,Held,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Late Night
INV00000174,2025-10-07,11,Pending,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,0,NONE,Afternoon
INV00000175,2025-12-20,14,Held,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,0,NONE,Late Night
INV00000176,2025-08-26,6,Pending,Cora/SAP date logic issue detected with code TERM_CFG_ERR; payment term mapping requires review.,0,TERM_CFG_ERR,Afternoon
INV00000177,2025-06-16,14,Approved,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Morning
INV00000178,2025-08-15,7,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Evening
INV00000179,2026-03-31,8,Released,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000180,2025-05-16,16,Released,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Morning
INV00000181,2025-05-29,7,Released,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Morning
INV00000182,2026-01-25,14,Approved,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Morning
INV00000183,2025-06-24,7,Approved,Scenario PAYMENT_TERM_MISMATCH: standard queue movement; payment not before contractual due date.,0,TERM_CFG_ERR,Morning
INV00000184,2026-02-23,12,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Evening
INV00000185,2026-03-26,20,Released,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,0,NONE,Afternoon
INV00000186,2025-02-01,4,Pending,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Evening
INV00000187,2025-10-31,17,Pending,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Afternoon
INV00000188,2025-02-21,5,Held,Scenario REPEAT_VENDOR_PATTERN: standard queue movement; payment not before contractual due date.,0,NONE,Evening
INV00000189,2026-02-09,4,Pending,Urgent payment request submitted by business; approval/documentation requires validation before release.,1,NONE,Morning
INV00000190,2025-02-22,16,Approved,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Late Night
INV00000191,2026-02-10,5,Approved,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Evening
INV00000192,2025-12-24,17,Approved,Scenario LEGITIMATE_UPR_EARLY_PAYMENT: standard queue movement; payment not before contractual due date.,0,NONE,Evening
INV00000193,2025-09-10,11,Released,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Evening
INV00000194,2025-04-12,11,Held,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Late Night
INV00000195,2025-05-06,20,Approved,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Late Night
INV00000196,2025-07-22,4,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon
INV00000197,2026-01-29,0,Approved,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Evening
INV00000198,2026-02-19,13,Approved,Cora/SAP date logic issue detected with code CORA_SYNC_ERR; payment term mapping requires review.,0,CORA_SYNC_ERR,Late Night
INV00000199,2025-08-23,1,Pending,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Afternoon
INV00000200,2025-04-25,3,Approved,Cora/SAP date logic issue detected with code TERM_CFG_ERR; payment term mapping requires review.,0,TERM_CFG_ERR,Afternoon
INV00000201,2025-09-16,22,Held,Scenario BEHAVIOURAL_QUEUE_CLEARANCE: standard queue movement; payment not before contractual due date.,1,NONE,Evening
